image,dmos,reference,noise
I01_01_01.png,4.57,I01.png,1
I01_01_02.png,4.33,I01.png,1
I01_01_03.png,2.67,I01.png,1
I01_01_04.png,1.67,I01.png,1
I01_01_05.png,1.1,I01.png,1
I02_01_01.png,4.5,I02.png,1
I02_01_02.png,4.17,I02.png,1
I02_01_03.png,2.07,I02.png,1
I02_01_04.png,1.57,I02.png,1
I02_01_05.png,1.27,I02.png,1
I03_01_01.png,4.7,I03.png,1
I03_01_02.png,4.63,I03.png,1
I03_01_03.png,3,I03.png,1
I03_01_04.png,1.83,I03.png,1
I03_01_05.png,1.17,I03.png,1
I04_01_01.png,4.77,I04.png,1
I04_01_02.png,4.3,I04.png,1
I04_01_03.png,2.5,I04.png,1
I04_01_04.png,1.57,I04.png,1
I04_01_05.png,1.2,I04.png,1
I05_01_01.png,4.6,I05.png,1
I05_01_02.png,4.47,I05.png,1
I05_01_03.png,2.83,I05.png,1
I05_01_04.png,1.7,I05.png,1
I05_01_05.png,1.17,I05.png,1
I06_01_01.png,4.7,I06.png,1
I06_01_02.png,4.33,I06.png,1
I06_01_03.png,3.43,I06.png,1
I06_01_04.png,2.13,I06.png,1
I06_01_05.png,1.53,I06.png,1
I07_01_01.png,4.5,I07.png,1
I07_01_02.png,4.4,I07.png,1
I07_01_03.png,2.5,I07.png,1
I07_01_04.png,1.73,I07.png,1
I07_01_05.png,1.37,I07.png,1
I08_01_01.png,4.8,I08.png,1
I08_01_02.png,4.4,I08.png,1
I08_01_03.png,3,I08.png,1
I08_01_04.png,2,I08.png,1
I08_01_05.png,1.47,I08.png,1
I09_01_01.png,4.73,I09.png,1
I09_01_02.png,3.77,I09.png,1
I09_01_03.png,1.93,I09.png,1
I09_01_04.png,1.4,I09.png,1
I09_01_05.png,1.2,I09.png,1
I10_01_01.png,4.73,I10.png,1
I10_01_02.png,4.53,I10.png,1
I10_01_03.png,2.8,I10.png,1
I10_01_04.png,1.67,I10.png,1
I10_01_05.png,1.23,I10.png,1
I11_01_01.png,4.6,I11.png,1
I11_01_02.png,4.07,I11.png,1
I11_01_03.png,2.5,I11.png,1
I11_01_04.png,1.77,I11.png,1
I11_01_05.png,1.35,I11.png,1
I12_01_01.png,4.53,I12.png,1
I12_01_02.png,3.87,I12.png,1
I12_01_03.png,2.4,I12.png,1
I12_01_04.png,1.67,I12.png,1
I12_01_05.png,1.17,I12.png,1
I13_01_01.png,4.74,I13.png,1
I13_01_02.png,4.4,I13.png,1
I13_01_03.png,3.33,I13.png,1
I13_01_04.png,2.2,I13.png,1
I13_01_05.png,1.5,I13.png,1
I14_01_01.png,4.63,I14.png,1
I14_01_02.png,4.1,I14.png,1
I14_01_03.png,2.53,I14.png,1
I14_01_04.png,1.68,I14.png,1
I14_01_05.png,1.57,I14.png,1
I15_01_01.png,4.63,I15.png,1
I15_01_02.png,4.33,I15.png,1
I15_01_03.png,2.43,I15.png,1
I15_01_04.png,1.8,I15.png,1
I15_01_05.png,1.23,I15.png,1
I16_01_01.png,4.7,I16.png,1
I16_01_02.png,4.3,I16.png,1
I16_01_03.png,2,I16.png,1
I16_01_04.png,1.4,I16.png,1
I16_01_05.png,1.13,I16.png,1
I17_01_01.png,4.73,I17.png,1
I17_01_02.png,4.23,I17.png,1
I17_01_03.png,2.73,I17.png,1
I17_01_04.png,1.4,I17.png,1
I17_01_05.png,1.07,I17.png,1
I18_01_01.png,4.5,I18.png,1
I18_01_02.png,4.23,I18.png,1
I18_01_03.png,2.83,I18.png,1
I18_01_04.png,1.77,I18.png,1
I18_01_05.png,1.4,I18.png,1
I19_01_01.png,4.4,I19.png,1
I19_01_02.png,4.23,I19.png,1
I19_01_03.png,2.77,I19.png,1
I19_01_04.png,1.93,I19.png,1
I19_01_05.png,1.27,I19.png,1
I20_01_01.png,4.63,I20.png,1
I20_01_02.png,4.37,I20.png,1
I20_01_03.png,2.73,I20.png,1
I20_01_04.png,1.97,I20.png,1
I20_01_05.png,1.33,I20.png,1
I21_01_01.png,4.7,I21.png,1
I21_01_02.png,4,I21.png,1
I21_01_03.png,2.5,I21.png,1
I21_01_04.png,1.6,I21.png,1
I21_01_05.png,1.13,I21.png,1
I22_01_01.png,4.7,I22.png,1
I22_01_02.png,4.57,I22.png,1
I22_01_03.png,3.13,I22.png,1
I22_01_04.png,2.3,I22.png,1
I22_01_05.png,1.5,I22.png,1
I23_01_01.png,4.73,I23.png,1
I23_01_02.png,4.47,I23.png,1
I23_01_03.png,3.03,I23.png,1
I23_01_04.png,2.2,I23.png,1
I23_01_05.png,1.33,I23.png,1
I24_01_01.png,4.2,I24.png,1
I24_01_02.png,4.03,I24.png,1
I24_01_03.png,2.77,I24.png,1
I24_01_04.png,1.7,I24.png,1
I24_01_05.png,1.4,I24.png,1
I25_01_01.png,4.43,I25.png,1
I25_01_02.png,4.63,I25.png,1
I25_01_03.png,3.2,I25.png,1
I25_01_04.png,2.3,I25.png,1
I25_01_05.png,1.37,I25.png,1
I26_01_01.png,4.74,I26.png,1
I26_01_02.png,4.43,I26.png,1
I26_01_03.png,2.83,I26.png,1
I26_01_04.png,1.8,I26.png,1
I26_01_05.png,1.3,I26.png,1
I27_01_01.png,4.53,I27.png,1
I27_01_02.png,4.17,I27.png,1
I27_01_03.png,2.4,I27.png,1
I27_01_04.png,1.67,I27.png,1
I27_01_05.png,1.2,I27.png,1
I28_01_01.png,4.57,I28.png,1
I28_01_02.png,4.68,I28.png,1
I28_01_03.png,4,I28.png,1
I28_01_04.png,2.19,I28.png,1
I28_01_05.png,1.37,I28.png,1
I29_01_01.png,4.73,I29.png,1
I29_01_02.png,4.4,I29.png,1
I29_01_03.png,3.47,I29.png,1
I29_01_04.png,1.87,I29.png,1
I29_01_05.png,1.23,I29.png,1
I30_01_01.png,4.6,I30.png,1
I30_01_02.png,4.6,I30.png,1
I30_01_03.png,3.93,I30.png,1
I30_01_04.png,2.63,I30.png,1
I30_01_05.png,1.26,I30.png,1
I31_01_01.png,4.83,I31.png,1
I31_01_02.png,4.63,I31.png,1
I31_01_03.png,3.03,I31.png,1
I31_01_04.png,1.83,I31.png,1
I31_01_05.png,1.27,I31.png,1
I32_01_01.png,4.5,I32.png,1
I32_01_02.png,4.39,I32.png,1
I32_01_03.png,2.73,I32.png,1
I32_01_04.png,1.6,I32.png,1
I32_01_05.png,1.1,I32.png,1
I33_01_01.png,4.4,I33.png,1
I33_01_02.png,3.9,I33.png,1
I33_01_03.png,2.33,I33.png,1
I33_01_04.png,1.57,I33.png,1
I33_01_05.png,1.3,I33.png,1
I34_01_01.png,4.6,I34.png,1
I34_01_02.png,4.37,I34.png,1
I34_01_03.png,2.97,I34.png,1
I34_01_04.png,1.7,I34.png,1
I34_01_05.png,1.3,I34.png,1
I35_01_01.png,4.53,I35.png,1
I35_01_02.png,4.5,I35.png,1
I35_01_03.png,3.2,I35.png,1
I35_01_04.png,1.97,I35.png,1
I35_01_05.png,1.33,I35.png,1
I36_01_01.png,4.63,I36.png,1
I36_01_02.png,4.53,I36.png,1
I36_01_03.png,3.5,I36.png,1
I36_01_04.png,2.1,I36.png,1
I36_01_05.png,1.27,I36.png,1
I37_01_01.png,4.77,I37.png,1
I37_01_02.png,4.1,I37.png,1
I37_01_03.png,2.87,I37.png,1
I37_01_04.png,1.53,I37.png,1
I37_01_05.png,1.33,I37.png,1
I38_01_01.png,4.7,I38.png,1
I38_01_02.png,4.63,I38.png,1
I38_01_03.png,3.4,I38.png,1
I38_01_04.png,1.87,I38.png,1
I38_01_05.png,1.43,I38.png,1
I39_01_01.png,4.73,I39.png,1
I39_01_02.png,4.43,I39.png,1
I39_01_03.png,2.97,I39.png,1
I39_01_04.png,1.8,I39.png,1
I39_01_05.png,1.32,I39.png,1
I40_01_01.png,4.27,I40.png,1
I40_01_02.png,3.83,I40.png,1
I40_01_03.png,2.17,I40.png,1
I40_01_04.png,1.57,I40.png,1
I40_01_05.png,1.1,I40.png,1
I41_01_01.png,4.57,I41.png,1
I41_01_02.png,4.43,I41.png,1
I41_01_03.png,3.17,I41.png,1
I41_01_04.png,2.07,I41.png,1
I41_01_05.png,1.4,I41.png,1
I42_01_01.png,4.57,I42.png,1
I42_01_02.png,4.63,I42.png,1
I42_01_03.png,3.23,I42.png,1
I42_01_04.png,2.07,I42.png,1
I42_01_05.png,1.4,I42.png,1
I43_01_01.png,4.8,I43.png,1
I43_01_02.png,4.47,I43.png,1
I43_01_03.png,3.67,I43.png,1
I43_01_04.png,2.47,I43.png,1
I43_01_05.png,1.6,I43.png,1
I44_01_01.png,4.43,I44.png,1
I44_01_02.png,4.07,I44.png,1
I44_01_03.png,3.63,I44.png,1
I44_01_04.png,1.87,I44.png,1
I44_01_05.png,1.13,I44.png,1
I45_01_01.png,4.57,I45.png,1
I45_01_02.png,4.3,I45.png,1
I45_01_03.png,2.63,I45.png,1
I45_01_04.png,1.45,I45.png,1
I45_01_05.png,1.23,I45.png,1
I46_01_01.png,4.65,I46.png,1
I46_01_02.png,4.33,I46.png,1
I46_01_03.png,2.97,I46.png,1
I46_01_04.png,1.63,I46.png,1
I46_01_05.png,1.17,I46.png,1
I47_01_01.png,4.5,I47.png,1
I47_01_02.png,4.27,I47.png,1
I47_01_03.png,3.13,I47.png,1
I47_01_04.png,2.07,I47.png,1
I47_01_05.png,1.47,I47.png,1
I48_01_01.png,4.53,I48.png,1
I48_01_02.png,4.75,I48.png,1
I48_01_03.png,3.5,I48.png,1
I48_01_04.png,2.2,I48.png,1
I48_01_05.png,1.23,I48.png,1
I49_01_01.png,4.63,I49.png,1
I49_01_02.png,4.63,I49.png,1
I49_01_03.png,3.3,I49.png,1
I49_01_04.png,2.47,I49.png,1
I49_01_05.png,1.37,I49.png,1
I50_01_01.png,4.57,I50.png,1
I50_01_02.png,4.13,I50.png,1
I50_01_03.png,2.73,I50.png,1
I50_01_04.png,1.83,I50.png,1
I50_01_05.png,1.2,I50.png,1
I51_01_01.png,4.53,I51.png,1
I51_01_02.png,4.37,I51.png,1
I51_01_03.png,2.5,I51.png,1
I51_01_04.png,1.53,I51.png,1
I51_01_05.png,1.33,I51.png,1
I52_01_01.png,4.77,I52.png,1
I52_01_02.png,4.47,I52.png,1
I52_01_03.png,2.73,I52.png,1
I52_01_04.png,1.87,I52.png,1
I52_01_05.png,1.27,I52.png,1
I53_01_01.png,4.7,I53.png,1
I53_01_02.png,4.63,I53.png,1
I53_01_03.png,3.3,I53.png,1
I53_01_04.png,2,I53.png,1
I53_01_05.png,1.27,I53.png,1
I54_01_01.png,4.84,I54.png,1
I54_01_02.png,4.48,I54.png,1
I54_01_03.png,2.53,I54.png,1
I54_01_04.png,1.67,I54.png,1
I54_01_05.png,1.1,I54.png,1
I55_01_01.png,4.47,I55.png,1
I55_01_02.png,4.5,I55.png,1
I55_01_03.png,2.87,I55.png,1
I55_01_04.png,1.8,I55.png,1
I55_01_05.png,1.23,I55.png,1
I56_01_01.png,4.6,I56.png,1
I56_01_02.png,4.63,I56.png,1
I56_01_03.png,2.87,I56.png,1
I56_01_04.png,1.87,I56.png,1
I56_01_05.png,1.2,I56.png,1
I57_01_01.png,4.43,I57.png,1
I57_01_02.png,3.93,I57.png,1
I57_01_03.png,2.23,I57.png,1
I57_01_04.png,1.7,I57.png,1
I57_01_05.png,1.07,I57.png,1
I58_01_01.png,4.73,I58.png,1
I58_01_02.png,4.43,I58.png,1
I58_01_03.png,3.9,I58.png,1
I58_01_04.png,2.6,I58.png,1
I58_01_05.png,1.53,I58.png,1
I59_01_01.png,4.8,I59.png,1
I59_01_02.png,4.3,I59.png,1
I59_01_03.png,3.2,I59.png,1
I59_01_04.png,1.8,I59.png,1
I59_01_05.png,1.37,I59.png,1
I60_01_01.png,4.47,I60.png,1
I60_01_02.png,4.6,I60.png,1
I60_01_03.png,3.33,I60.png,1
I60_01_04.png,1.97,I60.png,1
I60_01_05.png,1.57,I60.png,1
I61_01_01.png,4.47,I61.png,1
I61_01_02.png,4.63,I61.png,1
I61_01_03.png,2.73,I61.png,1
I61_01_04.png,1.97,I61.png,1
I61_01_05.png,1.13,I61.png,1
I62_01_01.png,4.63,I62.png,1
I62_01_02.png,4.03,I62.png,1
I62_01_03.png,2.6,I62.png,1
I62_01_04.png,1.87,I62.png,1
I62_01_05.png,1.43,I62.png,1
I63_01_01.png,4.67,I63.png,1
I63_01_02.png,4.43,I63.png,1
I63_01_03.png,2.6,I63.png,1
I63_01_04.png,1.87,I63.png,1
I63_01_05.png,1.3,I63.png,1
I64_01_01.png,4.67,I64.png,1
I64_01_02.png,4.4,I64.png,1
I64_01_03.png,3.23,I64.png,1
I64_01_04.png,1.83,I64.png,1
I64_01_05.png,1.23,I64.png,1
I65_01_01.png,4.77,I65.png,1
I65_01_02.png,4.4,I65.png,1
I65_01_03.png,2.6,I65.png,1
I65_01_04.png,1.9,I65.png,1
I65_01_05.png,1.33,I65.png,1
I66_01_01.png,4.63,I66.png,1
I66_01_02.png,4.48,I66.png,1
I66_01_03.png,2.97,I66.png,1
I66_01_04.png,1.73,I66.png,1
I66_01_05.png,1.4,I66.png,1
I67_01_01.png,4.63,I67.png,1
I67_01_02.png,4.63,I67.png,1
I67_01_03.png,3.1,I67.png,1
I67_01_04.png,1.9,I67.png,1
I67_01_05.png,1.27,I67.png,1
I68_01_01.png,4.67,I68.png,1
I68_01_02.png,4.33,I68.png,1
I68_01_03.png,2.6,I68.png,1
I68_01_04.png,1.67,I68.png,1
I68_01_05.png,1.17,I68.png,1
I69_01_01.png,4.48,I69.png,1
I69_01_02.png,4.63,I69.png,1
I69_01_03.png,3.4,I69.png,1
I69_01_04.png,2.13,I69.png,1
I69_01_05.png,1.4,I69.png,1
I70_01_01.png,4.73,I70.png,1
I70_01_02.png,4.73,I70.png,1
I70_01_03.png,2.9,I70.png,1
I70_01_04.png,1.93,I70.png,1
I70_01_05.png,1.23,I70.png,1
I71_01_01.png,4.63,I71.png,1
I71_01_02.png,4.34,I71.png,1
I71_01_03.png,2.7,I71.png,1
I71_01_04.png,1.4,I71.png,1
I71_01_05.png,1.23,I71.png,1
I72_01_01.png,4.33,I72.png,1
I72_01_02.png,4.27,I72.png,1
I72_01_03.png,2.63,I72.png,1
I72_01_04.png,1.83,I72.png,1
I72_01_05.png,1.03,I72.png,1
I73_01_01.png,4.63,I73.png,1
I73_01_02.png,4.6,I73.png,1
I73_01_03.png,3.13,I73.png,1
I73_01_04.png,1.93,I73.png,1
I73_01_05.png,1.17,I73.png,1
I74_01_01.png,4.7,I74.png,1
I74_01_02.png,4.43,I74.png,1
I74_01_03.png,3,I74.png,1
I74_01_04.png,2.1,I74.png,1
I74_01_05.png,1.4,I74.png,1
I75_01_01.png,4.37,I75.png,1
I75_01_02.png,4.43,I75.png,1
I75_01_03.png,2.5,I75.png,1
I75_01_04.png,1.87,I75.png,1
I75_01_05.png,1.4,I75.png,1
I76_01_01.png,4.71,I76.png,1
I76_01_02.png,4.47,I76.png,1
I76_01_03.png,2.87,I76.png,1
I76_01_04.png,1.57,I76.png,1
I76_01_05.png,1.33,I76.png,1
I77_01_01.png,4.63,I77.png,1
I77_01_02.png,4.6,I77.png,1
I77_01_03.png,2.87,I77.png,1
I77_01_04.png,2,I77.png,1
I77_01_05.png,1.43,I77.png,1
I78_01_01.png,4.5,I78.png,1
I78_01_02.png,4.43,I78.png,1
I78_01_03.png,3,I78.png,1
I78_01_04.png,2.17,I78.png,1
I78_01_05.png,1.67,I78.png,1
I79_01_01.png,4.7,I79.png,1
I79_01_02.png,4.63,I79.png,1
I79_01_03.png,3.37,I79.png,1
I79_01_04.png,2.47,I79.png,1
I79_01_05.png,1.53,I79.png,1
I80_01_01.png,4.63,I80.png,1
I80_01_02.png,4.43,I80.png,1
I80_01_03.png,3.27,I80.png,1
I80_01_04.png,2.1,I80.png,1
I80_01_05.png,1.53,I80.png,1
I81_01_01.png,4.67,I81.png,1
I81_01_02.png,4.5,I81.png,1
I81_01_03.png,2.9,I81.png,1
I81_01_04.png,1.87,I81.png,1
I81_01_05.png,1.2,I81.png,1
I01_03_01.png,4.73,I01.png,3
I01_03_02.png,3.97,I01.png,3
I01_03_03.png,2.7,I01.png,3
I01_03_04.png,2.03,I01.png,3
I01_03_05.png,1.5,I01.png,3
I02_03_01.png,4.6,I02.png,3
I02_03_02.png,3.77,I02.png,3
I02_03_03.png,2.33,I02.png,3
I02_03_04.png,1.8,I02.png,3
I02_03_05.png,1.2,I02.png,3
I03_03_01.png,4.6,I03.png,3
I03_03_02.png,4.37,I03.png,3
I03_03_03.png,2.93,I03.png,3
I03_03_04.png,2.23,I03.png,3
I03_03_05.png,1.63,I03.png,3
I04_03_01.png,4.7,I04.png,3
I04_03_02.png,4.17,I04.png,3
I04_03_03.png,2.63,I04.png,3
I04_03_04.png,1.93,I04.png,3
I04_03_05.png,1.6,I04.png,3
I05_03_01.png,4.47,I05.png,3
I05_03_02.png,3.9,I05.png,3
I05_03_03.png,2.68,I05.png,3
I05_03_04.png,1.87,I05.png,3
I05_03_05.png,1.53,I05.png,3
I06_03_01.png,4.47,I06.png,3
I06_03_02.png,4.27,I06.png,3
I06_03_03.png,3.27,I06.png,3
I06_03_04.png,2.9,I06.png,3
I06_03_05.png,2.17,I06.png,3
I07_03_01.png,4.67,I07.png,3
I07_03_02.png,4.33,I07.png,3
I07_03_03.png,2.77,I07.png,3
I07_03_04.png,2.07,I07.png,3
I07_03_05.png,1.53,I07.png,3
I08_03_01.png,4.9,I08.png,3
I08_03_02.png,4.33,I08.png,3
I08_03_03.png,3.23,I08.png,3
I08_03_04.png,2.33,I08.png,3
I08_03_05.png,1.83,I08.png,3
I09_03_01.png,4.5,I09.png,3
I09_03_02.png,3.67,I09.png,3
I09_03_03.png,2.13,I09.png,3
I09_03_04.png,1.67,I09.png,3
I09_03_05.png,1.3,I09.png,3
I10_03_01.png,4.67,I10.png,3
I10_03_02.png,4.2,I10.png,3
I10_03_03.png,2.9,I10.png,3
I10_03_04.png,2.17,I10.png,3
I10_03_05.png,1.4,I10.png,3
I11_03_01.png,4.7,I11.png,3
I11_03_02.png,3.57,I11.png,3
I11_03_03.png,2.47,I11.png,3
I11_03_04.png,2.1,I11.png,3
I11_03_05.png,1.47,I11.png,3
I12_03_01.png,4.53,I12.png,3
I12_03_02.png,3.7,I12.png,3
I12_03_03.png,2.06,I12.png,3
I12_03_04.png,1.6,I12.png,3
I12_03_05.png,1.37,I12.png,3
I13_03_01.png,4.4,I13.png,3
I13_03_02.png,4.43,I13.png,3
I13_03_03.png,3.43,I13.png,3
I13_03_04.png,2.33,I13.png,3
I13_03_05.png,1.47,I13.png,3
I14_03_01.png,4.67,I14.png,3
I14_03_02.png,3.55,I14.png,3
I14_03_03.png,2.5,I14.png,3
I14_03_04.png,1.9,I14.png,3
I14_03_05.png,1.45,I14.png,3
I15_03_01.png,4.6,I15.png,3
I15_03_02.png,3.7,I15.png,3
I15_03_03.png,2,I15.png,3
I15_03_04.png,2.07,I15.png,3
I15_03_05.png,1.33,I15.png,3
I16_03_01.png,4.47,I16.png,3
I16_03_02.png,3.47,I16.png,3
I16_03_03.png,2.03,I16.png,3
I16_03_04.png,1.63,I16.png,3
I16_03_05.png,1.17,I16.png,3
I17_03_01.png,4.61,I17.png,3
I17_03_02.png,3.7,I17.png,3
I17_03_03.png,2.27,I17.png,3
I17_03_04.png,1.9,I17.png,3
I17_03_05.png,1.47,I17.png,3
I18_03_01.png,4.3,I18.png,3
I18_03_02.png,3.97,I18.png,3
I18_03_03.png,3.07,I18.png,3
I18_03_04.png,2.33,I18.png,3
I18_03_05.png,1.57,I18.png,3
I19_03_01.png,4.57,I19.png,3
I19_03_02.png,3.73,I19.png,3
I19_03_03.png,3.03,I19.png,3
I19_03_04.png,2.17,I19.png,3
I19_03_05.png,1.84,I19.png,3
I20_03_01.png,4.4,I20.png,3
I20_03_02.png,4.03,I20.png,3
I20_03_03.png,3.13,I20.png,3
I20_03_04.png,2.13,I20.png,3
I20_03_05.png,1.87,I20.png,3
I21_03_01.png,4.7,I21.png,3
I21_03_02.png,3.6,I21.png,3
I21_03_03.png,2.23,I21.png,3
I21_03_04.png,1.9,I21.png,3
I21_03_05.png,1.53,I21.png,3
I22_03_01.png,4.77,I22.png,3
I22_03_02.png,4.33,I22.png,3
I22_03_03.png,2.73,I22.png,3
I22_03_04.png,2.33,I22.png,3
I22_03_05.png,1.9,I22.png,3
I23_03_01.png,4.93,I23.png,3
I23_03_02.png,4.47,I23.png,3
I23_03_03.png,3.3,I23.png,3
I23_03_04.png,2.77,I23.png,3
I23_03_05.png,2.07,I23.png,3
I24_03_01.png,4.5,I24.png,3
I24_03_02.png,4,I24.png,3
I24_03_03.png,3.03,I24.png,3
I24_03_04.png,2.4,I24.png,3
I24_03_05.png,1.83,I24.png,3
I25_03_01.png,4.77,I25.png,3
I25_03_02.png,4.43,I25.png,3
I25_03_03.png,3.1,I25.png,3
I25_03_04.png,2.9,I25.png,3
I25_03_05.png,1.73,I25.png,3
I26_03_01.png,4.67,I26.png,3
I26_03_02.png,4.33,I26.png,3
I26_03_03.png,3,I26.png,3
I26_03_04.png,2.37,I26.png,3
I26_03_05.png,1.87,I26.png,3
I27_03_01.png,4.4,I27.png,3
I27_03_02.png,3.27,I27.png,3
I27_03_03.png,2.5,I27.png,3
I27_03_04.png,1.5,I27.png,3
I27_03_05.png,1.67,I27.png,3
I28_03_01.png,4.47,I28.png,3
I28_03_02.png,4.43,I28.png,3
I28_03_03.png,3.9,I28.png,3
I28_03_04.png,2.73,I28.png,3
I28_03_05.png,2.17,I28.png,3
I29_03_01.png,4.77,I29.png,3
I29_03_02.png,4.4,I29.png,3
I29_03_03.png,3.5,I29.png,3
I29_03_04.png,2.33,I29.png,3
I29_03_05.png,2.03,I29.png,3
I30_03_01.png,4.67,I30.png,3
I30_03_02.png,4.7,I30.png,3
I30_03_03.png,3.7,I30.png,3
I30_03_04.png,3,I30.png,3
I30_03_05.png,2.33,I30.png,3
I31_03_01.png,4.63,I31.png,3
I31_03_02.png,4.23,I31.png,3
I31_03_03.png,3.13,I31.png,3
I31_03_04.png,2.33,I31.png,3
I31_03_05.png,1.57,I31.png,3
I32_03_01.png,4.57,I32.png,3
I32_03_02.png,3.73,I32.png,3
I32_03_03.png,2.77,I32.png,3
I32_03_04.png,1.93,I32.png,3
I32_03_05.png,1.6,I32.png,3
I33_03_01.png,4.57,I33.png,3
I33_03_02.png,3.7,I33.png,3
I33_03_03.png,2.33,I33.png,3
I33_03_04.png,1.97,I33.png,3
I33_03_05.png,1.6,I33.png,3
I34_03_01.png,4.43,I34.png,3
I34_03_02.png,4.03,I34.png,3
I34_03_03.png,2.9,I34.png,3
I34_03_04.png,2.17,I34.png,3
I34_03_05.png,1.7,I34.png,3
I35_03_01.png,4.7,I35.png,3
I35_03_02.png,4.53,I35.png,3
